inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trialsc.thisRepN,trialsc.thisTrialN,trialsc.thisN,trialsc.thisIndex,trialsc.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,ScreenRes_pixels,Camera_pixels,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Choice,Trial,TrialDuration,MOUSE_GAZE,ET_GAZE,ET_GAZE_x_T,time,unixTime,ET_GAZE_NF,Loc_Bus_label,Loc_Metro_label,Loc_RH_label,Loc_Cost_label,Loc_Travel_label,Loc_Comfort_label,Loc_Bus_cost,Loc_Metro_cost,Loc_RH_cost,Loc_Bus_travel,Loc_Metro_travel,Loc_RH_travel,Loc_Bus_comfort,Loc_Metro_comfort,Loc_RH_comfort,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Block,Device,RH_cost,RH_travel_time,RH_Comfort,metro_cost,metro_travel_time,metro_Comfort,Bus_cost,Bus_travel_time,Bus_Comfort
space,2.3716,-0.46875,-0.425925926,1,0,0,0.669791667,0.672222222,1,0,0,calibration_square,0,0,0,19,1,0.67,0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.001041667,0.333333333,1,0,0,calibration_square,0,1,1,12,1,0,0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.334375,0.331481481,1,0,0,calibration_square,0,2,2,17,1,0.33,0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.671875,-0.67037037,1,0,0,calibration_square,0,3,3,0,1,-0.67,-0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.327083333,-0.327777778,1,0,0,calibration_square,0,4,4,5,1,-0.33,-0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.667708333,-0.009259259,1,0,0,calibration_square,0,5,5,2,1,-0.67,0,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.332291667,-0.007407407,1,0,0,calibration_square,0,6,6,16,1,0.33,0,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.329166667,0.664814815,1,0,0,calibration_square,0,7,7,18,1,0.33,0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.329166667,-0.009259259,1,0,0,calibration_square,0,8,8,6,1,-0.33,0,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.672916667,-0.331481481,1,0,0,calibration_square,0,9,9,1,1,-0.67,-0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.002083333,0.67037037,1,0,0,calibration_square,0,10,10,13,1,0,0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.66875,0.331481481,1,0,0,calibration_square,0,11,11,3,1,-0.67,0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.330208333,-0.659259259,1,0,0,,0,12,12,14,1,0.33,-0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.326041667,-0.325925926,1,0,0,calibration_square,0,13,13,15,1,0.33,-0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.336458333,0.327777778,1,0,0,calibration_square,0,14,14,7,1,-0.33,0.33,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.332291667,-0.666666667,1,0,0,calibration_square,0,15,15,4,1,-0.33,-0.67,08,001,2024-11-18_11h10.24.115,Attention_exp_legacy,2023.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
